Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,66006,1912,1,31.6,Y
IDCJAC0001,66006,1912,2,162.3,Y
IDCJAC0001,66006,1912,3,219.5,Y
IDCJAC0001,66006,1912,4,121.1,Y
IDCJAC0001,66006,1912,5,84.4,Y
IDCJAC0001,66006,1912,6,58.3,Y
IDCJAC0001,66006,1912,7,286.2,Y
IDCJAC0001,66006,1912,8,46.4,Y
IDCJAC0001,66006,1912,9,11.2,Y
IDCJAC0001,66006,1912,10,25.2,Y
IDCJAC0001,66006,1912,11,80,Y
IDCJAC0001,66006,1912,12,53,Y
IDCJAC0001,66006,1913,1,20.4,Y
IDCJAC0001,66006,1913,2,38.3,Y
IDCJAC0001,66006,1913,3,207.6,Y
IDCJAC0001,66006,1913,4,243.4,Y
IDCJAC0001,66006,1913,5,416.2,Y
IDCJAC0001,66006,1913,6,278.3,Y
IDCJAC0001,66006,1913,7,194.3,Y
IDCJAC0001,66006,1913,8,1.8,Y
IDCJAC0001,66006,1913,9,35.7,Y
IDCJAC0001,66006,1913,10,26.7,Y
IDCJAC0001,66006,1913,11,16.3,Y
IDCJAC0001,66006,1913,12,5,Y
IDCJAC0001,66006,1914,1,17.8,Y
IDCJAC0001,66006,1914,2,39.6,Y
IDCJAC0001,66006,1914,3,250.2,Y
IDCJAC0001,66006,1914,4,37.1,Y
IDCJAC0001,66006,1914,5,79,Y
IDCJAC0001,66006,1914,6,153.5,Y
IDCJAC0001,66006,1914,7,228.8,Y
IDCJAC0001,66006,1914,8,58.5,Y
IDCJAC0001,66006,1914,9,161,Y
IDCJAC0001,66006,1914,10,191.6,Y
IDCJAC0001,66006,1914,11,61.8,Y
IDCJAC0001,66006,1914,12,221,Y
IDCJAC0001,66006,1915,1,34.8,Y
IDCJAC0001,66006,1915,2,35.1,Y
IDCJAC0001,66006,1915,3,82.4,Y
IDCJAC0001,66006,1915,4,309.8,Y
IDCJAC0001,66006,1915,5,141.2,Y
IDCJAC0001,66006,1915,6,42.2,Y
IDCJAC0001,66006,1915,7,146.1,Y
IDCJAC0001,66006,1915,8,31.2,Y
IDCJAC0001,66006,1915,9,42.2,Y
IDCJAC0001,66006,1915,10,24.6,Y
IDCJAC0001,66006,1915,11,1.4,Y
IDCJAC0001,66006,1915,12,85,Y
IDCJAC0001,66006,1916,1,36.9,Y
IDCJAC0001,66006,1916,2,70.3,Y
IDCJAC0001,66006,1916,3,97.4,Y
IDCJAC0001,66006,1916,4,114.8,Y
IDCJAC0001,66006,1916,5,51.9,Y
IDCJAC0001,66006,1916,6,52.1,Y
IDCJAC0001,66006,1916,7,90.6,Y
IDCJAC0001,66006,1916,8,73.1,Y
